lat(degree),lon(degree),time(h),sntmt_AFINN(_),sntmt_NLTK_comp(_),sntmt_NLTK_neg(_),sntmt_NLTK_neu(_),sntmt_NLTK_pos(_),temp(C),temp_max(C),temp_min(C),humidity(%),pressure(hPa),sky(__),sunrise(h),sunset(h),wind(m/s),wind_deg(degree),cloudiness(%),rain_3h(mm),snow_3h(mm)
37.7751,-122.4193,16.9691666667,0,0.0,0.0,1.0,0.0,22.76,29,18,47,1010,Clear,9.56666666667,22.8,3.6,210,1,nan,nan
40.0094,-75.1333,19.9691666667,0,0.0,0.0,1.0,0.0,23.67,26,21,56,1015,Clear,6.36666666667,19.7,2.06,314.002,1,nan,nan
32.7757,-96.7967,18.9691666667,3,0.6249,0.0,0.709,0.291,28.8,31,25,62,1012,Thunderstorm,7.95,21.0,6.2,70,1,nan,nan
32.7757,-96.7967,18.9694444444,0,0.0,0.0,1.0,0.0,28.8,31,25,62,1012,Thunderstorm,7.95,21.0,6.2,70,1,nan,nan
34.0194,-118.4108,16.9697222222,-1,-0.128,0.248,0.537,0.215,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
29.7805,-95.3863,18.9697222222,1,0.20095,0.0,0.7985,0.2015,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
40.0094,-75.1333,19.97,1,-0.05035,0.145,0.7175,0.1375,23.67,26,21,56,1015,Clear,6.36666666667,19.7,2.06,314.002,1,nan,nan
38.9041,-77.0171,19.9708333333,0,0.0,0.0,1.0,0.0,23.72,27,20,68,1015,Clouds,6.51666666667,19.8,2.61,300.502,40,nan,nan
38.9041,-77.0171,19.9711111111,2,0.3294,0.0,0.578,0.422,23.72,27,20,68,1015,Clouds,6.51666666667,19.8,2.61,300.502,40,nan,nan
32.8153,-117.135,16.9713888889,1,0.2202,0.0,0.704,0.296,21.5,26,18,73,1011,Clouds,9.31666666667,22.35,3.6,310,90,nan,nan
38.9041,-77.0171,19.9716666667,1,0.20095,0.0,0.8845,0.1155,23.72,27,20,68,1015,Clouds,6.51666666667,19.8,2.61,300.502,40,nan,nan
